"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctss",3.85828842401925e-27,0.536227480340126,0.973,0.948,8.00710596636714e-23
"Cst3",3.00980070239805e-18,0.349642051805009,0.99,0.996,6.24623939768667e-14
"C1qa",5.41494536801705e-12,0.428458515878066,0.863,0.812,1.12376361222458e-07
"Apod",9.28085645971246e-11,-0.973804119465354,0.158,0.286,1.92605614108413e-06
"Oplah",1.87642935219569e-09,0.669931653916211,0.502,0.381,3.89415383461171e-05
"Septin7",7.40460809111934e-09,-0.77384798043915,0.224,0.347,0.000153667831715
"Fnbp1",9.99073287334587e-09,-0.612375792016048,0.282,0.411,0.000207337679320547
"Pkp4",1.38132918677684e-08,-0.427755630872148,0.522,0.66,0.000286667246131798
"Gab1",1.73696246891303e-08,-0.71833512206444,0.146,0.259,0.000360471821173521
"Car2",3.95774193571609e-08,-0.791647213855961,0.198,0.311,0.00082135018391916
"Tmem176a",5.83741635847296e-08,0.453143486890506,0.663,0.558,0.00121143901687389
"Plp1",6.46504925757089e-08,-0.814815248138601,0.204,0.311,0.00134169167242369
"Pcdh9",7.54772093713338e-08,-0.653697943274244,0.229,0.344,0.00156637852608329
"Edil3",1.89379930021088e-07,-0.701919686417531,0.17,0.275,0.00393020168772765
"Ptgds",2.90737551002576e-07,-0.762216018776129,0.201,0.308,0.00603367639595645
"Lrp4",2.95688401394838e-07,0.578232766087468,0.49,0.391,0.00613642139414707
"Grm3",3.06324317790209e-07,-0.715866250520802,0.204,0.307,0.0063571485671002
"Pak5",3.77836499190706e-07,-0.829730460789568,0.156,0.254,0.00784124086770471
"Pex5l",5.30256620259704e-07,-0.67363503048164,0.159,0.262,0.0110044156402496
"Tmeff2",6.53547585759295e-07,-0.768444002027325,0.196,0.295,0.0135630730472627
"Ctnna3",1.03358856683325e-06,-0.693634042707421,0.18,0.278,0.0214500635274905
"AABR07000398.1",1.20320312591798e-06,-0.594151184783521,0.295,0.414,0.0249700744721758
"Frmd5",2.34396770433886e-06,-0.60281021249746,0.202,0.299,0.0486443617681444
