"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AABR07000398.1",1.19858052197406e-11,-0.715062945390102,0.361,0.499,2.48741415725277e-07
"Arhgap31",3.10291927591808e-08,0.382280352170999,0.772,0.7,0.000643948837331279
"LOC103692025",5.30567762544897e-08,0.192235157339272,0.998,0.997,0.00110108727760943
"Acaca",2.05580779146714e-07,0.807143712892003,0.264,0.158,0.00426641790963175
"Rbfox1",9.88222566599729e-07,0.311506800529648,0.8,0.746,0.0205085829246442
"Auts2",1.12974850641421e-06,0.382273316448385,0.624,0.52,0.0234456707536141
