"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rock1",6.94642713815745e-17,-0.100646794171608,0.809,0.854,1.44159202398182e-12
"Elp3",7.84398786031332e-17,-0.1004845328249,0.273,0.334,1.62786280065082e-12
"Ttbk2",1.06723604799198e-16,-0.101180875816331,0.323,0.388,2.21483497039775e-12
"Wdr47",1.09648873954719e-16,-0.102121493861412,0.332,0.398,2.27554308118228e-12
"Prrc2c",1.18928959681442e-16,-0.115298618274827,0.517,0.589,2.46813270026897e-12
"Rbm27",1.32285968678778e-16,-0.107529097847175,0.21,0.262,2.74533070799068e-12
"Ntrk3",1.33120198988437e-16,0.139262371290072,0.817,0.828,2.76264348960704e-12
"Syt16",1.42310318511576e-16,0.225770279234142,0.568,0.563,2.95336604007074e-12
"Pcdh17",1.57140280969187e-16,-0.12120379900583,0.478,0.547,3.26113225095353e-12
"Fam120a",1.58991873376683e-16,-0.102840010791074,0.342,0.41,3.29955834818631e-12
"Gbf1",1.64814963525147e-16,-0.119521704356334,0.466,0.54,3.42040493803738e-12
"Crebrf",2.16895991412566e-16,-0.109166246853322,0.369,0.437,4.50124250978498e-12
"Igsf11",2.51581058007062e-16,0.219821390473165,0.537,0.518,5.22106169682057e-12
"Phf6",3.53061650188861e-16,-0.1086088830941,0.341,0.407,7.32708842636944e-12
"Rnf216",3.69629747041045e-16,-0.102066993899004,0.335,0.401,7.67092614034281e-12
"Spata5",4.74143757657523e-16,-0.114553628504768,0.347,0.414,9.83990540266657e-12
"Tmem91",5.65532540510027e-16,0.260573388914844,0.554,0.55,1.17364968132046e-11
"Cracdl",6.1338139564271e-16,0.18680979095036,0.54,0.526,1.27295041037732e-11
"Meaf6",6.4266818279853e-16,-0.11296307026056,0.203,0.253,1.33372927976179e-11
"Cap1",7.02196764603612e-16,-0.104527496060923,0.302,0.365,1.45726894558188e-11
"Sema3e",7.08384853331148e-16,0.559369301639282,0.251,0.223,1.47011108611813e-11
"Vezt",7.27577416120244e-16,-0.103441284305327,0.305,0.367,1.50994141167434e-11
"Cep85l",9.19285689039524e-16,-0.104471995565503,0.255,0.311,1.90779359046372e-11
"Myo5a",1.03721323042899e-15,0.184469764341761,0.677,0.683,2.15252861710928e-11
"Tiam2",1.16777912268204e-15,0.393953280198139,0.312,0.285,2.42349201330204e-11
"Arhgap32",1.32805266399204e-15,0.127582547328967,0.799,0.804,2.75610769358269e-11
"Tbc1d19",1.42214433195663e-15,-0.103539008551687,0.245,0.301,2.95137613210959e-11
"Rgs6",1.52792513423955e-15,-0.151629399379297,0.302,0.36,3.17090303108733e-11
"Cacna1b",1.53860685558412e-15,-0.113589400836313,0.527,0.599,3.19307080739372e-11
"Usp48",1.55066921710412e-15,-0.110973700919572,0.368,0.434,3.21810382625619e-11
"Chgb",1.62727586668136e-15,-0.130470652200194,0.321,0.382,3.37708560612382e-11
"Dcun1d4",1.74298147382549e-15,-0.101144693770741,0.389,0.46,3.61720945263003e-11
"Atrx",1.97332254757684e-15,-0.116970658602096,0.583,0.653,4.09523628298621e-11
"Dennd1b",2.04916010944953e-15,-0.103324438980848,0.378,0.447,4.2526219751406e-11
"Kidins220",2.07910510650757e-15,-0.106710728930329,0.526,0.6,4.31476682753516e-11
"Bcr",2.50248841413377e-15,0.26818709432382,0.499,0.489,5.19341420585181e-11
"Ero1b",2.80284867817996e-15,-0.117815316031811,0.474,0.543,5.81675186182686e-11
"Deptor",3.4137995081153e-15,-0.108368476211451,0.244,0.297,7.08465811919168e-11
"Klf9",3.56735244429914e-15,0.443081634590536,0.296,0.27,7.403326527654e-11
"Actr3",3.61383656891944e-15,-0.102660168007194,0.294,0.354,7.49979503147852e-11
"Gpr149",5.01899274946853e-15,0.427572518318865,0.302,0.275,1.0415915652972e-10
"Mark1",5.54709121281322e-15,0.201585917324667,0.629,0.628,1.15118783939513e-10
"Mblac2",6.86342566666206e-15,-0.101962155881146,0.202,0.251,1.42436672860238e-10
"Snx12",7.58673619478918e-15,-0.100208920620499,0.244,0.296,1.5744753625046e-10
"Grb10",7.78521019366114e-15,-0.107952235876724,0.461,0.531,1.6156646714905e-10
"Osbp2",8.20372286950278e-15,0.289799494654511,0.468,0.456,1.70251860710791e-10
"Fkbp1a",8.85957038888753e-15,-0.10696227572444,0.432,0.504,1.83862664280583e-10
"Copg2",9.59490424398861e-15,-0.107543490285938,0.461,0.532,1.99123047775496e-10
"Rps6ka5",1.70704788041472e-14,0.136198423971252,0.731,0.72,3.54263646622467e-10
"Tnik",1.74530061200993e-14,0.111110796402047,0.841,0.855,3.6220223601042e-10
"Flrt2",1.78408541468194e-14,-0.100217142228462,0.44,0.508,3.70251246108943e-10
"Cdh4",2.44407042028879e-14,0.371809120904758,0.441,0.427,5.07217934322532e-10
"Elapor1",2.6648128784773e-14,0.328689890952378,0.403,0.386,5.53028616670394e-10
"Naa16",2.81732548512537e-14,-0.100084979677906,0.273,0.329,5.84679557928068e-10
"Utrn",2.88415416419888e-14,0.208685815244637,0.584,0.568,5.98548513696193e-10
"Rnls",3.67970544650915e-14,0.233877456318756,0.559,0.555,7.63649271314043e-10
"Lrrc10b",4.10217536680986e-14,0.401426440298107,0.322,0.301,8.5132445387405e-10
"Micu3",7.74130891746699e-14,-0.100066516408254,0.534,0.601,1.60655383964193e-09
"Unc13c",1.01994125069287e-13,0.297881141295799,0.484,0.465,2.1166840775629e-09
"Tle4",1.0981592700493e-13,0.151579835674991,0.682,0.679,2.27900993313331e-09
"Hsph1",1.27923070104062e-13,-0.12210200519772,0.314,0.37,2.6547874738696e-09
"Pitpnc1",1.4834128571499e-13,0.302581756756743,0.401,0.382,3.07852670244319e-09
"Bcat1",1.59097540939051e-13,-0.104615591962621,0.606,0.671,3.30175126710812e-09
"Erich3",2.68931324345992e-13,0.396712903450058,0.302,0.278,5.58113177415237e-09
"Syt6",3.71926961608391e-13,0.364863547325964,0.276,0.249,7.71860023425894e-09
"Cttnbp2",5.49432140103397e-13,0.105953555399441,0.876,0.882,1.14023652035658e-08
"Tmem132b",6.92656819624706e-13,0.164291654770591,0.666,0.678,1.43747069776715e-08
"Slc7a14",8.37214261559864e-13,0.301094932438222,0.436,0.427,1.73747075701519e-08
"Scn1a",1.03504398378716e-12,0.12609532950384,0.762,0.778,2.1480267795535e-08
"Rapgef5",1.36250094757425e-12,0.178415949566661,0.594,0.585,2.82759821650084e-08
"Nsg2",1.40225700851056e-12,0.221472292288441,0.575,0.578,2.91010396976197e-08
"Peli1",1.55958629675195e-12,-0.135447524882745,0.393,0.451,3.23660944164932e-08
"Rap1gap2",1.72658235233533e-12,0.339461184587877,0.359,0.341,3.58317635580151e-08
"Actn1",2.29548073646161e-12,0.186985052309229,0.617,0.618,4.76381117237877e-08
"Slit2",5.60544524134449e-12,-0.111952895110757,0.252,0.297,1.16329805093622e-07
"Adgrb1",6.46969296649332e-12,0.269711657751344,0.5,0.501,1.34265538133636e-07
"Tef",1.03842817151021e-11,0.329923065362462,0.411,0.401,2.15504998433514e-07
"Rnf165",1.24417598121692e-11,0.400243160329748,0.327,0.309,2.58203841381947e-07
"Dgkh",1.3019345047751e-11,0.213908426998053,0.557,0.56,2.70190467775976e-07
"Nhsl2",1.42727886268328e-11,0.357866787920358,0.351,0.336,2.96203182372661e-07
"Sorbs2",1.6556587357683e-11,0.125934218196953,0.78,0.792,3.43598857433994e-07
"RGD1309104",1.67834131605327e-11,-0.111297694386668,0.343,0.395,3.48306173320536e-07
"Mark2",1.73540630759047e-11,0.233198370319642,0.524,0.527,3.6014887101425e-07
"Dync1i1",2.07001008958109e-11,0.148466860918803,0.714,0.722,4.29589193890763e-07
"Per3",2.14470448106872e-11,0.228642499199813,0.545,0.542,4.45090520956191e-07
"Pcdha5",2.29329081345505e-11,0.121475138287928,0.763,0.767,4.75926642516326e-07
"Tmtc1",2.65658449282909e-11,0.36092174282336,0.348,0.333,5.51320979796821e-07
"Mllt3",3.90319543926929e-10,-0.110088448400908,0.752,0.801,8.10030149511557e-06
"Rgs17",4.54224895548458e-10,0.258207784301374,0.481,0.482,9.42652925731715e-06
"Zdhhc14",6.1800693583704e-10,0.190395784835153,0.608,0.624,1.28254979394261e-05
"Bcl11a",6.31412007626986e-10,0.254684860248792,0.451,0.443,1.31036933942828e-05
"Nr3c2",7.334100791862e-10,-0.203905390808185,0.584,0.634,1.52204593733512e-05
"Stk32c",7.60316666835159e-10,0.378407652812858,0.298,0.282,1.57788517868301e-05
"Man1a1",9.1990389636279e-10,0.191557037469313,0.567,0.567,1.9090765561217e-05
