"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tssc4",4.32250755431642e-09,0.903204449772138,0.68,0.441,8.97049992747286e-05
"AABR07028615.1",4.45675737005412e-09,0.651237637161494,0.88,0.75,9.24910857007332e-05
"Aifm3",5.04429641253574e-09,1.2927092098555,0.414,0.157,0.000104684283449354
"Dpyd",1.16159640601795e-08,0.949296077985526,0.663,0.431,0.000241066102140905
"Nrg3",4.57092614798607e-08,1.13377003709147,0.498,0.255,0.00094860430349155
"Cntnap2",9.93944214039148e-08,0.678869735428665,0.748,0.52,0.00206273242739544
"AABR07032097.1",1.49324149996287e-06,-1.92764990462079,0.146,0.309,0.0309892408487295
"Rora",2.37970119309922e-06,0.417953131059054,0.935,0.848,0.0493859388603882
