"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rbfox1",1.7377823069694e-283,-0.300075539606952,0.984,0.989,3.6064196216536e-279
"Nrg3",1.99810105283097e-220,-0.425095431760838,0.924,0.954,4.14665911494011e-216
"Dgkb",2.00390605906201e-209,-0.370444655641615,0.952,0.968,4.15870624437138e-205
"Itpr1",7.59411307078929e-200,-0.551166501332961,0.718,0.812,1.5760062855809e-195
"Ntm",2.36106801560809e-188,-0.508934367672239,0.838,0.885,4.89992445279146e-184
"Zfat",9.68792292764296e-187,1.08682667739775,0.289,0.13,2.01053464517374e-182
"Slc4a4",2.83337617856195e-172,-0.562345884350008,0.664,0.774,5.88010558336961e-168
"Tenm2",3.724077476612e-171,-0.319940354971703,0.962,0.976,7.72857798721288e-167
"Cacna2d3",9.13895389146508e-158,-0.321167844680383,0.887,0.916,1.89660710109575e-153
"Pde10a",1.54645743570169e-154,-0.37634537920231,0.881,0.931,3.20936311631173e-150
"ENSRNOG00000069588",4.47198056323774e-153,0.367041904714214,0.99,0.983,9.28070126288729e-149
"Nhs",4.55038855513912e-146,0.70087767147166,0.402,0.236,9.44342136848022e-142
"Phactr1",7.42607326530128e-141,-0.302327619172179,0.969,0.968,1.54113298474798e-136
"Tmem130",1.51554566055366e-138,0.526698016865181,0.632,0.453,3.145211909347e-134
"Grm8",2.0980101193229e-138,0.859457181529623,0.317,0.175,4.35400040063081e-134
"Apoe",6.42008080157506e-138,-0.804723254708789,0.197,0.339,1.33235936875087e-133
"Vsnl1",3.75132082934766e-137,0.875078633175007,0.287,0.15,7.78511611714521e-133
"Rock1",2.58231741198966e-134,0.367510659209755,0.885,0.774,5.35908332510214e-130
"LOC360998",9.79157367325215e-133,0.877520509347356,0.3,0.161,2.03204528441002e-128
"Strn",1.8153841087417e-132,-0.60063564598984,0.659,0.724,3.76746664087166e-128
"Nrg2",2.00924949866877e-132,0.460690375603451,0.693,0.526,4.16979548458729e-128
"Zfp385b",4.03434805438788e-132,-0.438996594005495,0.759,0.826,8.37248251727117e-128
"Unc5d",3.35170252059272e-130,0.900122212504109,0.379,0.237,6.95578824098608e-126
"Robo2",1.27758041259411e-127,-0.395056432161416,0.819,0.877,2.65136263025656e-123
"Cntn4",2.15042008225892e-124,-0.55890181767586,0.62,0.691,4.46276679671194e-120
"Cdh8",6.39634895394875e-124,-0.417806210945757,0.818,0.843,1.32743429841298e-119
"Kcnq5",2.41089175746396e-123,-0.277088859952736,0.904,0.949,5.00332366426495e-119
"Cntnap5a",1.49779486704808e-120,0.507106517890576,0.704,0.578,3.10837368758488e-116
"Ralyl",2.85777475055645e-120,0.542560851581698,0.776,0.639,5.93073993982981e-116
"Erich3",1.34406325897613e-119,0.689338101892469,0.351,0.206,2.78933448135316e-115
"LOC304725",5.58447896009667e-119,0.658801239818139,0.446,0.295,1.15894691858886e-114
"Hcn1",5.01271281985936e-118,0.523835621054807,0.524,0.363,1.04028829150541e-113
"Adgrb3",1.48260922625855e-117,-0.21162118567042,0.982,0.988,3.07685892725437e-113
"Cadm2",3.41402870540708e-115,-0.291515367460282,0.963,0.972,7.08513377233132e-111
"P3h3",5.08520045385913e-115,0.544299187555507,0.477,0.314,1.05533165018938e-110
"Dock3",3.69239751334022e-114,-0.269643403023255,0.944,0.948,7.66283255943497e-110
"Camk2d",2.91837697290976e-112,0.826050399273076,0.3,0.173,6.05650773187963e-108
"Mt-co2",4.79657819263828e-112,-1.16654051366013,0.144,0.255,9.95433872318223e-108
"Rab36",3.72862805186089e-111,0.620885439755956,0.383,0.238,7.7380217960269e-107
"Dlg2",7.61141498115581e-111,-0.148346027616904,0.997,0.996,1.57959695103926e-106
"Nkain3",5.5970766842195e-109,0.71846804355633,0.44,0.297,1.16156132427607e-104
"Resp18",2.04825542978755e-108,0.611866024111716,0.438,0.288,4.25074449343811e-104
"Edil3",7.37384778698218e-107,0.512703200948207,0.44,0.296,1.53029463123241e-102
"Celf2",1.47334530129051e-105,-0.217989225996539,0.975,0.979,3.0576335037682e-101
"Kcnab1",1.82829059701126e-105,-0.307560980001792,0.887,0.918,3.79425147597746e-101
