"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptgds",3.80239524230035e-160,0.991667047708361,0.868,0.621,7.89111084634591e-156
"Pex5l",6.15910727842341e-66,0.521892008439957,0.887,0.778,1.27819953349121e-61
"ENSRNOG00000067598",1.22306884742961e-64,0.950803705976525,0.421,0.206,2.53823477907066e-60
"Usp54",5.0924469287822e-59,0.436407523318011,0.88,0.757,1.05683551113017e-54
"Mast4",3.46613816892611e-49,0.321819697870217,0.97,0.921,7.19327654197235e-45
"Ptprd",8.7099279894621e-46,-0.311708816373359,0.957,0.965,1.80757135565307e-41
"Kazn",9.81740309207241e-43,0.797487096987035,0.393,0.227,2.03740566369779e-38
"Aplp1",4.27376730253352e-39,0.593598373067868,0.505,0.321,8.86934928294781e-35
"Gpatch4",2.43129796472907e-37,0.840006044477534,0.301,0.156,5.04567266620224e-33
"Dusp3",4.20596094272255e-35,0.733814537854951,0.335,0.187,8.72863074443212e-31
"Hecw2",1.47699406265362e-33,0.574637471591161,0.495,0.331,3.06520577822507e-29
"Kcna1",3.39647625674007e-32,0.538511813086822,0.516,0.347,7.04870717561266e-28
"Selenop",1.02285374911874e-31,0.798489818761135,0.268,0.14,2.12272838554612e-27
"Nt5e",4.06766980484533e-31,0.679914737615624,0.306,0.172,8.44163514599551e-27
"Fam135b",9.48652607437474e-30,0.650564008100323,0.314,0.179,1.96873875621499e-25
"Rcan2",4.58075174286917e-29,0.632754147492321,0.37,0.229,9.50643409197638e-25
"Mal",2.9550210635581e-28,0.60385082438021,0.323,0.188,6.13255521320212e-24
"Grm3",1.72849419079873e-27,0.221217293083024,0.972,0.93,3.58714399416459e-23
"Fam13c",2.36675118240316e-27,0.665098948118477,0.306,0.18,4.91171872884127e-23
"Pde4d",4.52016107558228e-25,-0.710608106540394,0.301,0.393,9.3806902801559e-21
"Adarb2",9.82965996517511e-25,0.405071808377618,0.674,0.534,2.03994933257279e-20
"Csmd3",2.33158869632582e-24,0.54819288058986,0.335,0.213,4.83874602148497e-20
"Lsamp",8.59263091017377e-24,0.320142095675795,0.677,0.539,1.78322869278836e-19
"Adipor2",9.01542448730305e-24,0.643514738672243,0.28,0.165,1.87097104385e-19
